  0%|                                                                          | 0/93765 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
C:\Users\dahun\Financial-LLM-Optimization\.venv\lib\site-packages\bitsandbytes\autograd\_functions.py:185: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
                                                                                                         
{'loss': 0.9526, 'grad_norm': 2.207369089126587, 'learning_rate': 1.4648536234202528e-05, 'epoch': 4.02}
{'loss': 0.9569, 'grad_norm': 2.2190072536468506, 'learning_rate': 1.4627206313656484e-05, 'epoch': 4.03}
{'loss': 0.9518, 'grad_norm': 1.9700533151626587, 'learning_rate': 1.4605876393110437e-05, 'epoch': 4.05}
{'loss': 0.8783, 'grad_norm': 1.6788291931152344, 'learning_rate': 1.458454647256439e-05, 'epoch': 4.06}
{'loss': 0.8746, 'grad_norm': 2.8256239891052246, 'learning_rate': 1.4563216552018345e-05, 'epoch': 4.08}
{'loss': 0.8808, 'grad_norm': 2.7215118408203125, 'learning_rate': 1.4541886631472299e-05, 'epoch': 4.1}
{'loss': 0.9105, 'grad_norm': 2.035057306289673, 'learning_rate': 1.4520556710926253e-05, 'epoch': 4.11}
{'loss': 0.9065, 'grad_norm': 1.5095887184143066, 'learning_rate': 1.4499226790380207e-05, 'epoch': 4.13}
{'loss': 0.8881, 'grad_norm': 1.6124470233917236, 'learning_rate': 1.4477896869834161e-05, 'epoch': 4.14}
{'loss': 0.9492, 'grad_norm': 1.749511957168579, 'learning_rate': 1.4456566949288115e-05, 'epoch': 4.16}
{'loss': 0.8917, 'grad_norm': 1.6949520111083984, 'learning_rate': 1.4435237028742069e-05, 'epoch': 4.18}
{'loss': 0.9484, 'grad_norm': 1.6158618927001953, 'learning_rate': 1.4413907108196023e-05, 'epoch': 4.19}
{'loss': 0.8847, 'grad_norm': 2.08697247505188, 'learning_rate': 1.4392577187649977e-05, 'epoch': 4.21}
{'loss': 0.9125, 'grad_norm': 1.4126262664794922, 'learning_rate': 1.4371247267103931e-05, 'epoch': 4.22}
{'loss': 0.9182, 'grad_norm': 1.3028219938278198, 'learning_rate': 1.4349917346557885e-05, 'epoch': 4.24}
{'loss': 0.9908, 'grad_norm': 2.2520391941070557, 'learning_rate': 1.432858742601184e-05, 'epoch': 4.26}
{'loss': 0.8832, 'grad_norm': 1.559360384941101, 'learning_rate': 1.4307257505465793e-05, 'epoch': 4.27}
{'loss': 0.8972, 'grad_norm': 3.751446008682251, 'learning_rate': 1.4285927584919747e-05, 'epoch': 4.29}
{'loss': 0.9212, 'grad_norm': 2.4957568645477295, 'learning_rate': 1.42645976643737e-05, 'epoch': 4.3}
{'loss': 0.8813, 'grad_norm': 6.909173488616943, 'learning_rate': 1.4243267743827655e-05, 'epoch': 4.32}
{'loss': 0.8966, 'grad_norm': 1.7235536575317383, 'learning_rate': 1.4221937823281608e-05, 'epoch': 4.34}
{'loss': 0.9245, 'grad_norm': 1.9433943033218384, 'learning_rate': 1.4200607902735564e-05, 'epoch': 4.35}
{'loss': 0.9492, 'grad_norm': 1.838624358177185, 'learning_rate': 1.4179277982189516e-05, 'epoch': 4.37}
{'loss': 0.8857, 'grad_norm': 2.3984484672546387, 'learning_rate': 1.4157948061643472e-05, 'epoch': 4.38}
{'loss': 0.9232, 'grad_norm': 4.935842037200928, 'learning_rate': 1.4136618141097424e-05, 'epoch': 4.4}
{'loss': 0.8917, 'grad_norm': 2.39945125579834, 'learning_rate': 1.411528822055138e-05, 'epoch': 4.42}
{'loss': 0.8848, 'grad_norm': 2.3235607147216797, 'learning_rate': 1.4093958300005332e-05, 'epoch': 4.43}
{'loss': 0.9363, 'grad_norm': 1.7685717344284058, 'learning_rate': 1.4072628379459288e-05, 'epoch': 4.45}
{'loss': 0.9309, 'grad_norm': 2.0656163692474365, 'learning_rate': 1.405129845891324e-05, 'epoch': 4.46}
{'loss': 0.9561, 'grad_norm': 1.4672868251800537, 'learning_rate': 1.4029968538367196e-05, 'epoch': 4.48}
{'loss': 0.8843, 'grad_norm': 2.481545925140381, 'learning_rate': 1.4008638617821152e-05, 'epoch': 4.5}
{'loss': 0.9558, 'grad_norm': 2.04491925239563, 'learning_rate': 1.3987308697275104e-05, 'epoch': 4.51}
{'loss': 0.8924, 'grad_norm': 2.266749858856201, 'learning_rate': 1.3965978776729058e-05, 'epoch': 4.53}
{'loss': 0.94, 'grad_norm': 2.0312533378601074, 'learning_rate': 1.3944648856183012e-05, 'epoch': 4.54}
{'loss': 0.9086, 'grad_norm': 1.5827844142913818, 'learning_rate': 1.3923318935636966e-05, 'epoch': 4.56}
{'loss': 0.8784, 'grad_norm': 1.2355316877365112, 'learning_rate': 1.390198901509092e-05, 'epoch': 4.58}
{'loss': 0.9096, 'grad_norm': 1.8921825885772705, 'learning_rate': 1.3880872393750336e-05, 'epoch': 4.59}
