  0%|                                                                          | 0/93765 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
C:\Users\dahun\Financial-LLM-Optimization\.venv\lib\site-packages\bitsandbytes\autograd\_functions.py:185: UserWarning: MatMul8bitLt: inputs will be cast from torch.float32 to float16 during quantization
  warnings.warn(f"MatMul8bitLt: inputs will be cast from {A.dtype} to float16 during quantization")
                                                                                                         
{'loss': 0.768, 'grad_norm': 1.8348621129989624, 'learning_rate': 7.996160614301713e-06, 'epoch': 9.01}
{'loss': 0.7104, 'grad_norm': 2.058485507965088, 'learning_rate': 7.974830693755667e-06, 'epoch': 9.02}
{'loss': 0.7545, 'grad_norm': 3.0422704219818115, 'learning_rate': 7.95350077320962e-06, 'epoch': 9.04}
{'loss': 0.7526, 'grad_norm': 3.1287193298339844, 'learning_rate': 7.932170852663575e-06, 'epoch': 9.05}
{'loss': 0.7552, 'grad_norm': 3.667020797729492, 'learning_rate': 7.910840932117529e-06, 'epoch': 9.07}
{'loss': 0.7463, 'grad_norm': 4.526468753814697, 'learning_rate': 7.889511011571483e-06, 'epoch': 9.09}
{'loss': 0.7223, 'grad_norm': 3.402270555496216, 'learning_rate': 7.868181091025437e-06, 'epoch': 9.1}
{'loss': 0.6893, 'grad_norm': 2.3241562843322754, 'learning_rate': 7.846851170479391e-06, 'epoch': 9.12}
{'loss': 0.7737, 'grad_norm': 2.402656316757202, 'learning_rate': 7.825521249933345e-06, 'epoch': 9.13}
{'loss': 0.759, 'grad_norm': 3.910853147506714, 'learning_rate': 7.804191329387299e-06, 'epoch': 9.15}
{'loss': 0.7528, 'grad_norm': 2.4115517139434814, 'learning_rate': 7.782861408841253e-06, 'epoch': 9.17}
{'loss': 0.7412, 'grad_norm': 3.8578739166259766, 'learning_rate': 7.761531488295207e-06, 'epoch': 9.18}
{'loss': 0.7477, 'grad_norm': 5.085046768188477, 'learning_rate': 7.740201567749161e-06, 'epoch': 9.2}
{'loss': 0.6642, 'grad_norm': 2.8378043174743652, 'learning_rate': 7.718871647203115e-06, 'epoch': 9.21}
{'loss': 0.7188, 'grad_norm': 1.5760674476623535, 'learning_rate': 7.69754172665707e-06, 'epoch': 9.23}
{'loss': 0.7058, 'grad_norm': 4.041308403015137, 'learning_rate': 7.676211806111023e-06, 'epoch': 9.25}
{'loss': 0.7194, 'grad_norm': 3.61946439743042, 'learning_rate': 7.654881885564976e-06, 'epoch': 9.26}
{'loss': 0.6884, 'grad_norm': 3.137233018875122, 'learning_rate': 7.63355196501893e-06, 'epoch': 9.28}
{'loss': 0.7184, 'grad_norm': 2.732595682144165, 'learning_rate': 7.612222044472885e-06, 'epoch': 9.29}
{'loss': 0.6726, 'grad_norm': 2.408128023147583, 'learning_rate': 7.590892123926839e-06, 'epoch': 9.31}
{'loss': 0.6814, 'grad_norm': 2.4928653240203857, 'learning_rate': 7.569775502586253e-06, 'epoch': 9.33}
{'loss': 0.7622, 'grad_norm': 2.7837140560150146, 'learning_rate': 7.548445582040208e-06, 'epoch': 9.34}
{'loss': 0.7142, 'grad_norm': 2.8698527812957764, 'learning_rate': 7.527115661494162e-06, 'epoch': 9.36}
{'loss': 0.7358, 'grad_norm': 2.3155829906463623, 'learning_rate': 7.505785740948116e-06, 'epoch': 9.37}
{'loss': 0.7315, 'grad_norm': 5.478351593017578, 'learning_rate': 7.48445582040207e-06, 'epoch': 9.39}
{'loss': 0.7637, 'grad_norm': 3.7769908905029297, 'learning_rate': 7.463125899856024e-06, 'epoch': 9.41}
{'loss': 0.6698, 'grad_norm': 6.1817307472229, 'learning_rate': 7.441795979309978e-06, 'epoch': 9.42}
{'loss': 0.6779, 'grad_norm': 2.7825584411621094, 'learning_rate': 7.420466058763932e-06, 'epoch': 9.44}
{'loss': 0.7369, 'grad_norm': 2.5400609970092773, 'learning_rate': 7.399136138217886e-06, 'epoch': 9.45}
{'loss': 0.7351, 'grad_norm': 3.1757218837738037, 'learning_rate': 7.37780621767184e-06, 'epoch': 9.47}
{'loss': 0.7402, 'grad_norm': 2.5613625049591064, 'learning_rate': 7.356476297125794e-06, 'epoch': 9.49}
{'loss': 0.7444, 'grad_norm': 2.547319173812866, 'learning_rate': 7.335146376579748e-06, 'epoch': 9.5}
{'loss': 0.7402, 'grad_norm': 2.8682713508605957, 'learning_rate': 7.313816456033702e-06, 'epoch': 9.52}
{'loss': 0.7161, 'grad_norm': 3.0708417892456055, 'learning_rate': 7.292486535487656e-06, 'epoch': 9.53}
{'loss': 0.6985, 'grad_norm': 1.9004734754562378, 'learning_rate': 7.2711566149416104e-06, 'epoch': 9.55}
{'loss': 0.6959, 'grad_norm': 2.2645578384399414, 'learning_rate': 7.2498266943955645e-06, 'epoch': 9.57}
{'loss': 0.7167, 'grad_norm': 6.995527744293213, 'learning_rate': 7.2284967738495185e-06, 'epoch': 9.58}
{'loss': 0.7647, 'grad_norm': 3.1560678482055664, 'learning_rate': 7.2071668533034726e-06, 'epoch': 9.6}
{'loss': 0.6795, 'grad_norm': 2.0536582469940186, 'learning_rate': 7.185836932757427e-06, 'epoch': 9.61}
{'loss': 0.7216, 'grad_norm': 2.947019338607788, 'learning_rate': 7.16450701221138e-06, 'epoch': 9.63}
{'loss': 0.7407, 'grad_norm': 2.5889229774475098, 'learning_rate': 7.143177091665334e-06, 'epoch': 9.65}
{'loss': 0.7306, 'grad_norm': 4.745232582092285, 'learning_rate': 7.121847171119288e-06, 'epoch': 9.66}
{'loss': 0.7168, 'grad_norm': 2.4397573471069336, 'learning_rate': 7.100517250573242e-06, 'epoch': 9.68}
{'loss': 0.7756, 'grad_norm': 2.4334404468536377, 'learning_rate': 7.079187330027196e-06, 'epoch': 9.69}
{'loss': 0.7411, 'grad_norm': 3.3486721515655518, 'learning_rate': 7.05785740948115e-06, 'epoch': 9.71}
{'loss': 0.7485, 'grad_norm': 2.60514760017395, 'learning_rate': 7.036527488935104e-06, 'epoch': 9.73}
{'loss': 0.745, 'grad_norm': 2.2776598930358887, 'learning_rate': 7.015197568389058e-06, 'epoch': 9.74}
{'loss': 0.7663, 'grad_norm': 2.3257393836975098, 'learning_rate': 6.993867647843012e-06, 'epoch': 9.76}
{'loss': 0.7066, 'grad_norm': 3.4999239444732666, 'learning_rate': 6.9727510265024265e-06, 'epoch': 9.77}
{'loss': 0.6737, 'grad_norm': 2.3320577144622803, 'learning_rate': 6.9514211059563805e-06, 'epoch': 9.79}
{'loss': 0.7504, 'grad_norm': 2.299755811691284, 'learning_rate': 6.9300911854103346e-06, 'epoch': 9.81}
{'loss': 0.7305, 'grad_norm': 3.33640193939209, 'learning_rate': 6.908761264864289e-06, 'epoch': 9.82}
{'loss': 0.718, 'grad_norm': 1.8833407163619995, 'learning_rate': 6.887431344318243e-06, 'epoch': 9.84}
{'loss': 0.7354, 'grad_norm': 1.2559243440628052, 'learning_rate': 6.866101423772197e-06, 'epoch': 9.85}
{'loss': 0.7151, 'grad_norm': 2.4701266288757324, 'learning_rate': 6.844771503226151e-06, 'epoch': 9.87}
{'loss': 0.691, 'grad_norm': 3.3257668018341064, 'learning_rate': 6.823441582680105e-06, 'epoch': 9.89}
{'loss': 0.7607, 'grad_norm': 4.065337657928467, 'learning_rate': 6.802111662134059e-06, 'epoch': 9.9}
{'loss': 0.7861, 'grad_norm': 3.1435108184814453, 'learning_rate': 6.780781741588013e-06, 'epoch': 9.92}
{'loss': 0.7097, 'grad_norm': 2.7589986324310303, 'learning_rate': 6.759451821041967e-06, 'epoch': 9.93}
{'loss': 0.7352, 'grad_norm': 3.0808000564575195, 'learning_rate': 6.738121900495921e-06, 'epoch': 9.95}
{'loss': 0.7681, 'grad_norm': 3.1969926357269287, 'learning_rate': 6.716791979949875e-06, 'epoch': 9.97}
{'loss': 0.7184, 'grad_norm': 3.1392250061035156, 'learning_rate': 6.695462059403829e-06, 'epoch': 9.98}
{'loss': 0.777, 'grad_norm': 3.018953323364258, 'learning_rate': 6.674132138857783e-06, 'epoch': 10.0}
